Name,Score,Url
John Inman,53.3431809462,/content/pgatour/players/player.22400.hennie-otto.html
Brandt Snedeker,53.3864166368,/content/pgatour/players/player.01867.bobby-nichols.html
Stephen Gallacher,57.2348315871,/content/pgatour/players/player.01510.nolan-henke.html
Tyler Aldridge,57.5243276803,/content/pgatour/players/player.34431.robert-streb.html
Trevor Dodds,59.156067571,/content/pgatour/players/player.10885.robert-allenby.html
Ryan Brehm,59.2252846957,/content/pgatour/players/player.20070.matt-bettencourt.html
Skip Kendall,59.3072649585,/content/pgatour/players/player.37278.nicholas-lindheim.html
Stewart Cink,61.205615369,/content/pgatour/players/player.36699.patrick-rodgers.html
Jarrod Lyle,62.0597083958,/content/pgatour/players/player.28697.gaganjeet-bhullar.html
Craig Stadler,64.542519899,/content/pgatour/players/player.01811.cary-middlecoff.html
"Ted Potter, Jr.",66.527678739,/content/pgatour/players/player.06643.paul-goydos.html
Ken Duke,67.1672330109,/content/pgatour/players/player.28089.jason-day.html
Aaron Wise,67.6281946197,/content/pgatour/players/player.49964.aaron-wise.html
Lanny Wadkins,68.0729337992,/content/pgatour/players/player.27064.jhonattan-vegas.html
Chad Campbell,68.1054972222,/content/pgatour/players/player.20498.briny-baird.html
Matt Jones,68.2792657149,/content/pgatour/players/player.24925.jonathan-byrd.html
Kevin Chappell,68.3046294012,/content/pgatour/players/player.22892.jason-gore.html
Gary Hallberg,69.0113830046,/content/pgatour/players/player.23338.david-gossett.html
Mike Springer,69.1347241459,/content/pgatour/players/player.24357.k-j--choi.html
Russell Knox,69.2891114779,/content/pgatour/players/player.32876.martin-piller.html
Chris Stroud,69.9302004516,/content/pgatour/players/player.12652.cameron-beckman.html
Luke Donald,70.0664820513,/content/pgatour/players/player.21949.joe-ogilvie.html
Tom Lovelady,71.1810850336,/content/pgatour/players/player.23614.rich-beem.html
Joe Durant,71.8518442667,/content/pgatour/players/player.01876.greg-norman.html
Colt Knost,72.1630532267,/content/pgatour/players/player.33419.cameron-tringale.html
Retief Goosen,72.1659881897,/content/pgatour/players/player.26329.louis-oosthuizen.html
Patton Kizzire,72.8387283381,/content/pgatour/players/player.30110.kyle-stanley.html
Patrick Cantlay,73.3315604338,/content/pgatour/players/player.27119.koumei-oda.html
Stuart Appleby,73.3412150743,/content/pgatour/players/player.32757.patton-kizzire.html
Kevin Streelman,73.4467088222,/content/pgatour/players/player.01261.jay-delsing.html
Michael Putnam,74.3546338984,/content/pgatour/players/player.27330.josh-teater.html
Cameron Smith,74.3941343785,/content/pgatour/players/player.27644.brian-harman.html
Brian Gay,74.4990557032,/content/pgatour/players/player.35225.brandon-stone.html
